,,,,DEC,JUN,MAR,SEP
PlayStation 4 (PS4),Sony,Japan,2015,359.9999999999999,349.9999999999999,290.00000000000006,160.00000000000014
PlayStation 4 (PS4),Sony,Japan,2016,310.00000000000006,349.99999999999966,450.00000000000017,310.00000000000006
PlayStation 4 (PS4),Sony,Japan,2017,540.0,349.99999999999966,900.0000000000003,280.0000000000002
PlayStation 4 (PS4),Sony,Japan,2018,280.0000000000002,410.0000000000001,839.9999999999999,219.99999999999972
PlayStation 4 (PS4),Sony,Japan,2019,199.9999999999993,399.9999999999995,500.0,200.00000000000108
PlayStation 4 (PS4),Sony,Japan,2020,39.99999999999915,280.00000000000114,349.99999999999966,80.00000000000007
PlayStation 4 (PS4),Sony,North America,2013,0.0,0.0,0.0,0.0
PlayStation 4 (PS4),Sony,North America,2014,1540.0,870.0000000000001,2750.0,750.0
PlayStation 4 (PS4),Sony,North America,2015,1240.0000000000002,850.0000000000006,1890.0,719.9999999999989
PlayStation 4 (PS4),Sony,North America,2016,640.0000000000006,740.0000000000002,3620.000000000001,740.0000000000002
PlayStation 4 (PS4),Sony,North America,2017,929.9999999999998,880.0000000000025,3209.9999999999973,910.0
PlayStation 4 (PS4),Sony,North America,2018,1150.000000000002,1289.999999999999,3160.0,739.9999999999984
PlayStation 4 (PS4),Sony,North America,2019,879.9999999999955,1020.0000000000032,2379.999999999999,759.999999999998
PlayStation 4 (PS4),Sony,North America,2020,419.9999999999946,990.000000000002,1980.000000000004,570.0000000000002
PlayStation 4 (PS4),Sony,Other,2013,0.0,0.0,0.0,0.0
PlayStation 4 (PS4),Sony,Other,2014,940.0,190.00000000000009,600.0,460.0
PlayStation 4 (PS4),Sony,Other,2015,639.9999999999997,870.0000000000001,660.0000000000001,390.0000000000001
PlayStation 4 (PS4),Sony,Other,2016,429.9999999999997,669.9999999999999,1320.0000000000002,450.00000000000017
PlayStation 4 (PS4),Sony,Other,2017,1319.9999999999984,519.9999999999995,1600.0000000000005,640.0000000000006
PlayStation 4 (PS4),Sony,Other,2018,780.0000000000011,629.999999999999,1760.0000000000016,339.9999999999999
PlayStation 4 (PS4),Sony,Other,2019,609.9999999999994,660.0000000000001,1000.0,719.9999999999989
PlayStation 4 (PS4),Sony,Other,2020,109.99999999999945,420.0000000000017,699.9999999999993,250.0
PlayStation Vita (PSV),Sony,Europe,2013,229.99999999999977,330.00000000000006,169.99999999999994,130.0000000000001
